L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.06842105263157895   R -0.026315789473684223  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.015789473684210534  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.005263157894736845  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R 0.005263157894736831  P -35.430941945291174,   Y20.097955968151936,    R 0.004357362223682558, AxisA((0.1532338410615921, -0.86411052942276, 0.4794086813926697), 0.708172082901001) C0
 L -0.06842105263157895   R 0.01578947368421052  P -35.430941945291174,   Y20.097955968151936,    R 0.004357362223682558, AxisA((0.1532338410615921, -0.86411052942276, 0.4794086813926697), 0.708172082901001) C0
 L -0.06842105263157895   R 0.02631578947368421  P -35.430941945291174,   Y20.097955968151936,    R 0.004357362223682558, AxisA((0.1532338410615921, -0.86411052942276, 0.4794086813926697), 0.708172082901001) C0
 L -0.06842105263157895   R 0.0368421052631579  P -35.430941945291174,   Y20.097955968151936,    R 0.004357362223682558, AxisA((0.1532338410615921, -0.86411052942276, 0.4794086813926697), 0.708172082901001) C0
 L -0.06842105263157895   R 0.04736842105263156  P -35.430941945291174,   Y20.097955968151936,    R 0.004357362223682558, AxisA((0.1532338410615921, -0.86411052942276, 0.4794086813926697), 0.708172082901001) C0
 L -0.06842105263157895   R 0.05789473684210525  P -35.430941945291174,   Y20.097955968151936,    R 0.004357362223682558, AxisA((0.1532338410615921, -0.86411052942276, 0.4794086813926697), 0.708172082901001) C0
 L -0.06842105263157895   R 0.06842105263157894  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.06842105263157895   R 0.07894736842105263  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.06842105263157895   R 0.08947368421052632  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.06842105263157895   R 0.1  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 ***Left Actuator value = -0.05789473684210527 ****
L -0.05789473684210527   R -0.1  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.08947368421052632  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.07894736842105264  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.06842105263157895  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.05789473684210527  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.04736842105263159  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.0368421052631579  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.026315789473684223  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.015789473684210534  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R -0.005263157894736845  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R 0.005263157894736831  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
