L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L 0.02631578947368421   R 0.08947368421052632  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.02631578947368421   R 0.1  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 ***Left Actuator value = 0.0368421052631579 ****
L 0.0368421052631579   R -0.1  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.08947368421052632  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.07894736842105264  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.06842105263157895  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.05789473684210527  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.04736842105263159  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.0368421052631579  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.026315789473684223  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.015789473684210534  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R -0.005263157894736845  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
 L 0.0368421052631579   R 0.005263157894736831  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.01578947368421052  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.02631578947368421  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.0368421052631579  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.04736842105263156  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.05789473684210525  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.06842105263157894  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.07894736842105263  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.08947368421052632  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.0368421052631579   R 0.1  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 ***Left Actuator value = 0.04736842105263156 ****
L 0.04736842105263156   R -0.1  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.04736842105263156   R -0.08947368421052632  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.04736842105263156   R -0.07894736842105264  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.04736842105263156   R -0.06842105263157895  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.04736842105263156   R -0.05789473684210527  P 30.175219173721743,   Y-13.800460561145284,    R -0.00021638504552470443, AxisA((0.10973086208105087, 0.9067897200584412, -0.40705248713493347), 0.5779564380645752) C0
 L 0.04736842105263156   R -0.04736842105263159  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R -0.0368421052631579  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R -0.026315789473684223  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R -0.015789473684210534  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R -0.005263157894736845  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.005263157894736831  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.01578947368421052  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.02631578947368421  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.0368421052631579  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.04736842105263156  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.05789473684210525  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.06842105263157894  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.07894736842105263  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.08947368421052632  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.04736842105263156   R 0.1  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 ***Left Actuator value = 0.05789473684210525 ****
L 0.05789473684210525   R -0.1  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.08947368421052632  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.07894736842105264  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.06842105263157895  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.05789473684210527  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.04736842105263159  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.0368421052631579  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.026315789473684223  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.015789473684210534  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R -0.005263157894736845  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.005263157894736831  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.01578947368421052  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.02631578947368421  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.0368421052631579  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.04736842105263156  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.05789473684210525  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.06842105263157894  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.07894736842105263  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.08947368421052632  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.05789473684210525   R 0.1  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 ***Left Actuator value = 0.06842105263157894 ****
L 0.06842105263157894   R -0.1  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.06842105263157894   R -0.08947368421052632  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.06842105263157894   R -0.07894736842105264  P 9.271911173615187,   Y-24.53261088456311,    R -0.01282990391216069, AxisA((0.07528062909841537, 0.3485637903213501, -0.9342561960220337), 0.4572795033454895) C1
 L 0.06842105263157894   R -0.06842105263157895  P -1.316548753262939,   Y-26.550926073426133,    R -0.027173439727709723, AxisA((-0.012478881515562534, -0.04839920252561569, -0.9987515211105347), 0.4639652967453003) C1
 L 0.06842105263157894   R -0.05789473684210527  P -1.316548753262939,   Y-26.550926073426133,    R -0.027173439727709723, AxisA((-0.012478881515562534, -0.04839920252561569, -0.9987515211105347), 0.4639652967453003) C1
 L 0.06842105263157894   R -0.04736842105263159  P -1.316548753262939,   Y-26.550926073426133,    R -0.027173439727709723, AxisA((-0.012478881515562534, -0.04839920252561569, -0.9987515211105347), 0.4639652967453003) C1
 L 0.06842105263157894   R -0.0368421052631579  P -1.316548753262939,   Y-26.550926073426133,    R -0.027173439727709723, AxisA((-0.012478881515562534, -0.04839920252561569, -0.9987515211105347), 0.4639652967453003) C1
 L 0.06842105263157894   R -0.026315789473684223  P -1.316548753262939,   Y-26.550926073426133,    R -0.027173439727709723, AxisA((-0.012478881515562534, -0.04839920252561569, -0.9987515211105347), 0.4639652967453003) C1
 L 0.06842105263157894   R -0.015789473684210534  P -1.316548753262939,   Y-26.550926073426133,    R -0.027173439727709723, AxisA((-0.012478881515562534, -0.04839920252561569, -0.9987515211105347), 0.4639652967453003) C1
 L 0.06842105263157894   R -0.005263157894736845  P -1.316548753262939,   Y-26.550926073426133,    R -0.027173439727709723, AxisA((-0.012478881515562534, -0.04839920252561569, -0.9987515211105347), 0.4639652967453003) C1
 L 0.06842105263157894   R 0.005263157894736831  P 0.07664322996810535,   Y-26.558717595542827,    R -0.02779676500703465, AxisA((-0.0003589679254218936, 0.003076505847275257, -0.9999952912330627), 0.46353888511657715) C1
 L 0.06842105263157894   R 0.01578947368421052  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.02631578947368421  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.0368421052631579  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.04736842105263156  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.05789473684210525  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.06842105263157894  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.07894736842105263  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.08947368421052632  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.06842105263157894   R 0.1  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 ***Left Actuator value = 0.07894736842105263 ****
L 0.07894736842105263   R -0.1  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.07894736842105263   R -0.08947368421052632  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.07894736842105263   R -0.07894736842105264  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.07894736842105263   R -0.06842105263157895  P 16.345713158889694,   Y-26.465001845325975,    R -0.020173472026052033, AxisA((0.12103085219860077, 0.517550528049469, -0.8470485806465149), 0.5415176749229431) C1
 L 0.07894736842105263   R -0.05789473684210527  P 2.339288258923917,   Y-26.51876113464404,    R -0.02795873897994637, AxisA((0.01930563524365425, 0.08654779940843582, -0.9960613250732422), 0.46459487080574036) C1
 L 0.07894736842105263   R -0.04736842105263159  P 0.6407195347989005,   Y-26.61482163196966,    R -0.02981303027747187, AxisA((0.004490140359848738, 0.023892847821116447, -0.9997047185897827), 0.4646456241607666) C1
 L 0.07894736842105263   R -0.0368421052631579  P 0.6407195347989005,   Y-26.61482163196966,    R -0.02981303027747187, AxisA((0.004490140359848738, 0.023892847821116447, -0.9997047185897827), 0.4646456241607666) C1
 L 0.07894736842105263   R -0.026315789473684223  P 0.6407195347989005,   Y-26.61482163196966,    R -0.02981303027747187, AxisA((0.004490140359848738, 0.023892847821116447, -0.9997047185897827), 0.4646456241607666) C1
 L 0.07894736842105263   R -0.015789473684210534  P 0.6407195347989005,   Y-26.61482163196966,    R -0.02981303027747187, AxisA((0.004490140359848738, 0.023892847821116447, -0.9997047185897827), 0.4646456241607666) C1
 L 0.07894736842105263   R -0.005263157894736845  P 0.6407195347989005,   Y-26.61482163196966,    R -0.02981303027747187, AxisA((0.004490140359848738, 0.023892847821116447, -0.9997047185897827), 0.4646456241607666) C1
 L 0.07894736842105263   R 0.005263157894736831  P 0.6407195347989005,   Y-26.61482163196966,    R -0.02981303027747187, AxisA((0.004490140359848738, 0.023892847821116447, -0.9997047185897827), 0.4646456241607666) C1
 L 0.07894736842105263   R 0.01578947368421052  P 0.6407195347989005,   Y-26.61482163196966,    R -0.02981303027747187, AxisA((0.004490140359848738, 0.023892847821116447, -0.9997047185897827), 0.4646456241607666) C1
 L 0.07894736842105263   R 0.02631578947368421  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.07894736842105263   R 0.0368421052631579  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.07894736842105263   R 0.04736842105263156  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.07894736842105263   R 0.05789473684210525  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.07894736842105263   R 0.06842105263157894  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.07894736842105263   R 0.07894736842105263  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.07894736842105263   R 0.08947368421052632  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.07894736842105263   R 0.1  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 ***Left Actuator value = 0.08947368421052632 ****
L 0.08947368421052632   R -0.1  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.08947368421052632   R -0.08947368421052632  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.08947368421052632   R -0.07894736842105264  P 26.137647693323263,   Y-19.67958257955233,    R -0.015529959716212927, AxisA((0.1371675431728363, 0.7935917377471924, -0.5927867889404297), 0.5691946148872375) C1
 L 0.08947368421052632   R -0.06842105263157895  P 24.134149168645333,   Y-21.373143184272415,    R -0.015135770017264486, AxisA((0.1396305412054062, 0.7424413561820984, -0.6551966667175293), 0.5607762336730957) C1
 L 0.08947368421052632   R -0.05789473684210527  P 7.904070628143202,   Y-24.958435689612553,    R -0.020525982545981612, AxisA((0.0650366023182869, 0.2975196838378906, -0.9524973034858704), 0.4565752446651459) C1
 L 0.08947368421052632   R -0.04736842105263159  P 7.904070628143202,   Y-24.958435689612553,    R -0.020525982545981612, AxisA((0.0650366023182869, 0.2975196838378906, -0.9524973034858704), 0.4565752446651459) C1
 L 0.08947368421052632   R -0.0368421052631579  P 7.904070628143202,   Y-24.958435689612553,    R -0.020525982545981612, AxisA((0.0650366023182869, 0.2975196838378906, -0.9524973034858704), 0.4565752446651459) C1
 L 0.08947368421052632   R -0.026315789473684223  P 7.904070628143202,   Y-24.958435689612553,    R -0.020525982545981612, AxisA((0.0650366023182869, 0.2975196838378906, -0.9524973034858704), 0.4565752446651459) C1
 L 0.08947368421052632   R -0.015789473684210534  P 7.904070628143202,   Y-24.958435689612553,    R -0.020525982545981612, AxisA((0.0650366023182869, 0.2975196838378906, -0.9524973034858704), 0.4565752446651459) C1
 L 0.08947368421052632   R -0.005263157894736845  P 7.904070628143202,   Y-24.958435689612553,    R -0.020525982545981612, AxisA((0.0650366023182869, 0.2975196838378906, -0.9524973034858704), 0.4565752446651459) C1
 L 0.08947368421052632   R 0.005263157894736831  P 7.904070628143202,   Y-24.958435689612553,    R -0.020525982545981612, AxisA((0.0650366023182869, 0.2975196838378906, -0.9524973034858704), 0.4565752446651459) C1
 L 0.08947368421052632   R 0.01578947368421052  P 19.17094889882935,   Y-24.986501997971413,    R -0.015508887915051527, AxisA((0.1326436996459961, 0.6009305715560913, -0.7882173657417297), 0.5480079650878906) C1
 L 0.08947368421052632   R 0.02631578947368421  P 19.17094889882935,   Y-24.986501997971413,    R -0.015508887915051527, AxisA((0.1326436996459961, 0.6009305715560913, -0.7882173657417297), 0.5480079650878906) C1
 L 0.08947368421052632   R 0.0368421052631579  P 19.17094889882935,   Y-24.986501997971413,    R -0.015508887915051527, AxisA((0.1326436996459961, 0.6009305715560913, -0.7882173657417297), 0.5480079650878906) C1
 L 0.08947368421052632   R 0.04736842105263156  P 19.17094889882935,   Y-24.986501997971413,    R -0.015508887915051527, AxisA((0.1326436996459961, 0.6009305715560913, -0.7882173657417297), 0.5480079650878906) C1
 L 0.08947368421052632   R 0.05789473684210525  P 19.17094889882935,   Y-24.986501997971413,    R -0.015508887915051527, AxisA((0.1326436996459961, 0.6009305715560913, -0.7882173657417297), 0.5480079650878906) C1
 L 0.08947368421052632   R 0.06842105263157894  P 19.17094889882935,   Y-24.986501997971413,    R -0.015508887915051527, AxisA((0.1326436996459961, 0.6009305715560913, -0.7882173657417297), 0.5480079650878906) C1
 L 0.08947368421052632   R 0.07894736842105263  P 19.17094889882935,   Y-24.986501997971413,    R -0.015508887915051527, AxisA((0.1326436996459961, 0.6009305715560913, -0.7882173657417297), 0.5480079650878906) C1
 L 0.08947368421052632   R 0.08947368421052632  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.08947368421052632   R 0.1  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 ***Left Actuator value = 0.1 ****
L 0.1   R -0.1  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.08947368421052632  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.07894736842105264  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.06842105263157895  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.05789473684210527  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.04736842105263159  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.0368421052631579  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.026315789473684223  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.015789473684210534  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R -0.005263157894736845  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
